"","term","estimate","std.error","conf.low","conf.high","model"
"2...1","kde_fric",0.218548880435616,0.0252737779271421,0.169013185945154,0.268084574926078,"2004_2011_biomass"
"3...2","kde_feve",-0.257982669708858,0.025403254993902,-0.307772134586993,-0.208193204830723,"2004_2011_biomass"
"4...3","tric",0.075453053169498,0.024654324261781,0.0271314655532352,0.123774640785761,"2004_2011_biomass"
"5...4","teve",-0.430472264034047,0.0267589244729552,-0.482918792266067,-0.378025735802028,"2004_2011_biomass"
"6...5","sbt_mean",0.233432945029276,0.0688510200564108,0.0984874254198655,0.368378464638686,"2004_2011_biomass"
"7...6","sbt_sd",0.1890095187609,0.0462912271242173,0.0982803807972707,0.27973865672453,"2004_2011_biomass"
"8...7","sst_sd",0.0423933243867129,0.0428877006544425,-0.0416650242757294,0.126451673049155,"2004_2011_biomass"
"9...8","sic_mean",0.10640159664333,0.0827714811954696,-0.0558275254468248,0.268630718733485,"2004_2011_biomass"
"10...9","log_chla_mean",-0.0439602400937688,0.0327257946455136,-0.108101618964429,0.0201811387768915,"2004_2011_biomass"
"11...10","depth",0.147862745135887,0.0340089443415829,0.0812064390741572,0.214519051197617,"2004_2011_biomass"
"2...11","kde_fric",0.262046132607356,0.0399007429353614,0.183842113497657,0.340250151717056,"2012_2016_biomass"
"3...12","kde_feve",-0.284496698080388,0.0355336134748466,-0.354141300731655,-0.214852095429122,"2012_2016_biomass"
"4...13","tric",0.0627666142272405,0.0363708796524607,-0.00851899997762308,0.134052228432104,"2012_2016_biomass"
"5...14","teve",-0.458808923314324,0.0377147500919165,-0.53272847518041,-0.384889371448239,"2012_2016_biomass"
"6...15","sbt_mean",0.261054597249745,0.0808703999789352,0.102551525875683,0.419557668623807,"2012_2016_biomass"
"7...16","sbt_sd",0.0702536998352177,0.0504112788829673,-0.0285505911900028,0.169057990860438,"2012_2016_biomass"
"8...17","sst_sd",0.0929624540818842,0.0486275577937965,-0.00234580785009696,0.188270716013865,"2012_2016_biomass"
"9...18","sic_mean",-0.128437363121782,0.0762947991774737,-0.277972421717347,0.0210976954737823,"2012_2016_biomass"
"10...19","log_chla_mean",0.0043765618684161,0.0400226520178694,-0.0740663946523872,0.0828195183892194,"2012_2016_biomass"
"11...20","depth",0.0582686506418385,0.0474317673262569,-0.0346959050407088,0.151233206324386,"2012_2016_biomass"
"2...21","kde_fric",0.167501378450253,0.0321669243564055,0.104455365218274,0.230547391682232,"2017_2022_biomass"
"3...22","kde_feve",-0.190568033324959,0.029394090118673,-0.248179391315883,-0.132956675334035,"2017_2022_biomass"
"4...23","tric",-0.0456601934970848,0.0311038456606755,-0.106622610772701,0.0153022237785316,"2017_2022_biomass"
"5...24","teve",-0.441276198619705,0.0323488082697794,-0.504678697771264,-0.377873699468146,"2017_2022_biomass"
"6...25","sbt_mean",0.363512637430656,0.0790685913726425,0.208541046031963,0.51848422882935,"2017_2022_biomass"
"7...26","sbt_sd",-0.0158559073683539,0.0482421155573511,-0.110408716398781,0.0786969016620736,"2017_2022_biomass"
"8...27","sst_sd",0.011084090275563,0.045184338819994,-0.0774755864768802,0.0996437670280062,"2017_2022_biomass"
"9...28","log_chla_mean",0.0842459763614399,0.0419618109964771,0.00200233808226792,0.166489614640612,"2017_2022_biomass"
"10...29","depth",-0.134391556734325,0.0436782993646437,-0.219999450394986,-0.048783663073665,"2017_2022_biomass"
"2...30","kde_fric",0.252505318411661,0.0374842315926114,0.179037574501984,0.325973062321338,"arctic_biomass"
"3...31","kde_feve",-0.295773455290839,0.0349135575478224,-0.364202770656738,-0.227344139924941,"arctic_biomass"
"4...32","tric",-0.146619898900803,0.0367300753807478,-0.21860952379651,-0.0746302740050956,"arctic_biomass"
"5...33","teve",-0.415666754754497,0.0377020951247511,-0.489561503340713,-0.341772006168282,"arctic_biomass"
"6...34","sbt_mean",0.124672420685845,0.0371884364994686,0.0517844245055318,0.197560416866158,"arctic_biomass"
"7...35","sic_mean",0.012622408352832,0.0734453434186293,-0.131327819579857,0.156572636285521,"arctic_biomass"
"8...36","sbt_sd",0.0998029424581749,0.0628017854432715,-0.023286295175449,0.222892180091799,"arctic_biomass"
"9...37","sst_sd",0.0632997931248402,0.0497625948408785,-0.0342331005405404,0.160832686790221,"arctic_biomass"
"10...38","log_chla_mean",-0.00613016490913295,0.0395836457688126,-0.083712684992797,0.0714523551745311,"arctic_biomass"
"11...39","depth",0.107438916289251,0.0455346599294391,0.0181926227792714,0.196685209799231,"arctic_biomass"
"2...40","kde_fric",0.103368385084421,0.0293927791609044,0.0457595965235087,0.160977173645333,"boreal_biomass"
"3...41","kde_feve",-0.135705212339388,0.0265876093560758,-0.187815969112316,-0.0835944555664589,"boreal_biomass"
"4...42","tric",0.101526243467576,0.0284265483269468,0.045811232541973,0.157241254393179,"boreal_biomass"
"5...43","teve",-0.465857313743904,0.0272329074965842,-0.51923283163152,-0.412481795856288,"boreal_biomass"
"6...44","sbt_mean",0.0485465431715454,0.0800133385683273,-0.108276718705186,0.205369805048276,"boreal_biomass"
"7...45","sic_mean",0.0326508320531762,0.0389075371085558,-0.0436065394067489,0.108908203513101,"boreal_biomass"
"8...46","sbt_sd",0.0873895553637298,0.0333380758779788,0.0220481273290279,0.152730983398432,"boreal_biomass"
"9...47","sst_sd",-0.0458946800338701,0.0602926393433292,-0.164066081679658,0.0722767216119177,"boreal_biomass"
"10...48","log_chla_mean",-0.0410454687971008,0.0348297232181661,-0.109310471896205,0.0272195343020032,"boreal_biomass"
