"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 7.0933304901141 0.232971975416571 6.63671380889047 7.54994717133773 "2012_2016_biomass"
"2" "Fric" 0.0850408287960352 0.0392198301244323 0.00817137427236894 0.161910283319702 "2012_2016_biomass"
"3" "Feve" 0.0831692123707863 0.0413372194331919 0.00214975106070099 0.164188673680872 "2012_2016_biomass"
"4" "Tric" 0.0921611727065643 0.0383210183435458 0.0170533569023157 0.167268988510813 "2012_2016_biomass"
"5" "Teve" -0.438677166026538 0.0413882624625511 -0.51979666983583 -0.357557662217247 "2012_2016_biomass"
"6" "sbt_mean" 0.325170472924441 0.0903609211303828 0.148066321899026 0.502274623949855 "2012_2016_biomass"
"7" "sbt_sd" 0.0584335125205291 0.0582050618828192 -0.0556463124877215 0.17251333752878 "2012_2016_biomass"
"8" "sst_sd" 0.131234000267774 0.0579831455725711 0.0175891232351916 0.244878877300356 "2012_2016_biomass"
"9" "sic_mean" -0.0327286273232686 0.0884768173876642 -0.206140002869818 0.14068274822328 "2012_2016_biomass"
"10" "log_chla_mean" -0.0410362274790741 0.0408470503388339 -0.121094975017883 0.0390225200597349 "2012_2016_biomass"
"11" "depth" -0.0372232383599415 0.0514816451563991 -0.138125408731355 0.0636789320114716 "2012_2016_biomass"
