"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 7.12440273413346 0.143605874934217 6.84294039129403 7.40586507697288 "fishing_biomass"
"2" "Fric" 0.0375663676108266 0.0270768416879857 -0.0155032669127181 0.0906360021343713 "fishing_biomass"
"3" "Feve" 0.0545713637283487 0.0266679380272476 0.00230316565299737 0.1068395618037 "fishing_biomass"
"4" "Tric" 0.050940547894307 0.0246411736150971 0.00264473507191815 0.0992363607166959 "fishing_biomass"
"5" "Teve" -0.404749728166395 0.028890854581702 -0.461374762629114 -0.348124693703675 "fishing_biomass"
"6" "sbt_mean" 0.263066192406492 0.0637921245631185 0.138035925765487 0.388096459047497 "fishing_biomass"
"7" "sbt_sd" 0.04525514323831 0.0373680270034541 -0.0279848438617802 0.1184951303384 "fishing_biomass"
"8" "sst_sd" 0.0699842676040655 0.0358880543872638 -0.000355026470186162 0.140323561678317 "fishing_biomass"
"9" "sic_mean" -0.118691924031084 0.0640309674051174 -0.244190314040372 0.00680646597820429 "fishing_biomass"
"10" "log_chla_mean" -0.0321172102901863 0.0295581171971287 -0.0900500554473726 0.025815634867 "fishing_biomass"
"11" "depth" -0.163144698328278 0.0340910013092006 -0.229961833091219 -0.0963275635653373 "fishing_biomass"
"12" "log_fishing_effort" 0.12083328809271 0.0251002981621379 0.0716376076937024 0.170028968491717 "fishing_biomass"
