"term" "estimate" "std.error" "conf.low" "conf.high" "model"
"1" "(Intercept)" 6.79545968012037 0.276053336357825 6.25440508304692 7.33651427719383 "2004_2011_biomass"
"2" "Fric" 0.0889501257742732 0.0276397005925922 0.0347773080693221 0.143122943479224 "2004_2011_biomass"
"3" "Feve" -0.0166625050912322 0.0283776117825468 -0.0722816021522835 0.0389565919698191 "2004_2011_biomass"
"4" "Tric" 0.115904206174146 0.0239445656139531 0.0689737199453413 0.16283469240295 "2004_2011_biomass"
"5" "Teve" -0.525879360933839 0.0318631675117591 -0.588330021690253 -0.463428700177424 "2004_2011_biomass"
"6" "sbt_mean" 0.240127597061939 0.0708936142745567 0.101178666349934 0.379076527773945 "2004_2011_biomass"
"7" "sbt_sd" 0.162121733457847 0.0498706015900282 0.0643771504540454 0.259866316461648 "2004_2011_biomass"
"8" "sst_sd" 0.0467919922564511 0.0456784153206474 -0.0427360566428804 0.136320041155783 "2004_2011_biomass"
"9" "sic_mean" 0.181067075599871 0.0895422646456182 0.0055674618003056 0.356566689399437 "2004_2011_biomass"
"10" "log_chla_mean" 0.0263737410262016 0.0330124161767044 -0.0383294057227865 0.0910768877751896 "2004_2011_biomass"
"11" "depth" 0.0716413346714968 0.033989213064438 0.00502370120234003 0.138258968140653 "2004_2011_biomass"
